# promagen-leaderboard
# generated_at: 2025-09-26T16:07:33.446Z
# reviewer: Martin
# period: 2025-W39
# signature: 9a189d3be0dbf4365e9b31986cdfe7de7a51d4e9e1f85f5b81ac51fc966862aa
#
id,name,resolvedScore,reason
openai,OpenAI DALL·E/GPT-Image,80,base
midjourney,Midjourney,78,base
stability,Stability AI,72,base
leonardo,Leonardo AI,72,base
i23rf,I23RF,72,base
artistly,Artistly,72,base
adobe,Adobe Firefly,72,base
canva,Canva Text-to-Image,72,base
bing,Bing Image Creator,72,base
ideogram,Ideogram,72,base
picsart,Picsart,72,base
fotor,Fotor,72,base
nightcafe,NightCafe,72,base
playground,Playground AI,72,base
pixlr,Pixlr,72,base
deepai,DeepAI,72,base
novelai,NovelAI,72,base
lexica,Lexica,72,base
openart,OpenArt,72,base
flux,Flux Schnell,72,base
