country,energy_1,energy_2,energy_3,agri_1,agri_2,agri_3,metals_1,metals_2,metals_3
🇦🇷 Argentina,brent_crude,natural_gas_henry_hub,ethanol,soybeans,corn,wheat,lithium,copper,gold
🇦🇺 Australia,coal,lng_jkm,brent_crude,wheat,barley,rapeseed_canola,iron_ore,bauxite,gold
🇦🇹 Austria,brent_crude,ttf_natural_gas,gasoil_ulsd,wheat,barley,corn,steel_rebar,aluminium,copper
🇧🇩 Bangladesh,coal,lng_jkm,natural_gas_henry_hub,rice,wheat,tea,steel_rebar,iron_ore,copper
🇧🇪 Belgium,brent_crude,ttf_natural_gas,gasoil_ulsd,wheat,sugar,barley,steel_rebar,zinc,copper
🇧🇲 Bermuda,brent_crude,gasoline_rbob,gasoil_ulsd,corn,wheat,rice,gold,silver,copper
🇧🇷 Brazil,brent_crude,ethanol,lng_jkm,soybeans,sugar,coffee,iron_ore,bauxite,gold
🇧🇬 Bulgaria,coal,brent_crude,ttf_natural_gas,wheat,corn,barley,copper,zinc,lead
🇨🇲 Cameroon (CEMAC),brent_crude,coal,gasoil_ulsd,cocoa,coffee,palm_oil,cobalt,gold,iron_ore
🇨🇦 Canada,wcs_crude,natural_gas_henry_hub,heating_oil,wheat,barley,rapeseed_canola,gold,uranium,nickel
🇨🇱 Chile,brent_crude,lng_jkm,coal,wheat,corn,barley,copper,lithium,gold
🇨🇳 China,coal,brent_crude,lng_jkm,rice,corn,soybeans,steel_rebar,iron_ore,copper
🇨🇴 Colombia,brent_crude,coal,natural_gas_henry_hub,coffee,sugar,corn,gold,copper,nickel
🇨🇿 Czechia,coal,brent_crude,ttf_natural_gas,wheat,barley,corn,steel_rebar,zinc,copper
🇨🇮 Côte d’Ivoire (UEMOA),brent_crude,gasoil_ulsd,coal,cocoa,coffee,palm_oil,gold,iron_ore,copper
🇩🇰 Denmark,brent_crude,ttf_natural_gas,gasoil_ulsd,barley,wheat,rapeseed_canola,steel_rebar,aluminium,copper
🇪🇬 Egypt,brent_crude,natural_gas_henry_hub,coal,wheat,corn,rice,gold,iron_ore,steel_rebar
🇪🇪 Estonia,brent_crude,ttf_natural_gas,coal,barley,wheat,rapeseed_canola,steel_rebar,iron_ore,copper
